MEMBER_NUMBER;PROGRAM_NAME;PARTNER_ALIAS;TRANSACTION_DATE;ACTIVITY_DATE;PARENT_SIGNATURE_CODE;PARENT_TRANSACTION_ID;TRANSACTION_PRODUCT_NAME;TRANSACTION_AMOUNT;TRANSACTION_TYPE;TRANSACTION_SUBTYPE;TRANSACTION_CHANNEL;TRANSACTION_COMMENTS;TRANSACTION_POINT_NAME;OWNER_LOGIN;EXTERNAL;EXTERNAL_PARTNER_ID
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131024567140;1-1O7W1L09;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131158494920;1-1O92RJZG;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079913287;1-1O81X8D0;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079091218;1-1O7ZEK02;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131021310019;1-1O839LVC;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131045782478;1-1O92ZHUU;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131052196530;1-1O81VQP2;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131078168243;1-1O82C0U6;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131047548516;1-1O8U9PMA;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131055812716;1-1O7VBXS0;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131078186080;1-1O7ZKTVU;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131050523299;1-1O8W47RB;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131083459766;1-1O7VPGYF;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131024939095;1-1O7WRGNI;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
